Name,OrphaCode,HPOTerm,HPOFrequency,HPOKor
Alexander disease,58,Macrocephaly,Very frequent (99-80%),대두증
Alexander disease,58,Intellectual disability,Very frequent (99-80%),지적 장애
Alexander disease,58,Seizure,Very frequent (99-80%),발작
Alexander disease,58,Spasticity,Very frequent (99-80%),강직
Alexander disease,58,Agenesis of corpus callosum,Very frequent (99-80%),뇌량 무형성증
Alexander disease,58,Hyperreflexia,Very frequent (99-80%),과반사
Alexander disease,58,Megalencephaly,Very frequent (99-80%),거대뇌증
Alexander disease,58,Failure to thrive,Very frequent (99-80%),성장 실패
Alexander disease,58,Frontal bossing,Very frequent (99-80%),이마 돌출
Alexander disease,58,Nausea and vomiting,Very frequent (99-80%),구역 및 구토
Alexander disease,58,Abnormality of speech or vocalization,Very frequent (99-80%),언어 또는 발성 이상
Alexander disease,58,Clonus,Very frequent (99-80%),간대성 경련
Alexander disease,58,EEG abnormality,Very frequent (99-80%),뇌파 이상
Alexander disease,58,Sleep abnormality,Very frequent (99-80%),수면 이상
Alexander disease,58,Scoliosis,Very frequent (99-80%),척추측만증
Alexander disease,58,Abnormal pyramidal sign,Very frequent (99-80%),비정상 피라미드 증후
Alexander disease,58,Large face,Very frequent (99-80%),큰 얼굴
Alexander disease,58,Abnormality of eye movement,Frequent (79-30%),안구 운동 이상
Alexander disease,58,Ptosis,Frequent (79-30%),안검하수
Alexander disease,58,Nystagmus,Frequent (79-30%),안진
Alexander disease,58,Diplopia,Frequent (79-30%),복시
Alexander disease,58,Emotional lability,Frequent (79-30%),감정 불안정성
Alexander disease,58,Depression,Frequent (79-30%),우울증
Alexander disease,58,Hyperhidrosis,Frequent (79-30%),다한증
Alexander disease,58,Ataxia,Frequent (79-30%),운동실조
Alexander disease,58,Dysarthria,Frequent (79-30%),구음 장애
Alexander disease,58,Gait disturbance,Frequent (79-30%),보행 장애
Alexander disease,58,Tremor,Frequent (79-30%),떨림
Alexander disease,58,Dysphonia,Frequent (79-30%),발성 장애
Alexander disease,58,Dysphagia,Frequent (79-30%),삼킴 곤란
Alexander disease,58,Constipation,Frequent (79-30%),변비
Alexander disease,58,Hypothermia,Frequent (79-30%),저체온증
Alexander disease,58,Aphasia,Frequent (79-30%),실어증
Alexander disease,58,Tetraplegia,Frequent (79-30%),사지마비
Alexander disease,58,Cerebral calcification,Frequent (79-30%),뇌 석회화
Alexander disease,58,Hypotension,Frequent (79-30%),저혈압
Alexander disease,58,Kyphosis,Frequent (79-30%),척추후만증
Alexander disease,58,Sleep apnea,Frequent (79-30%),수면 무호흡증
Alexander disease,58,Facial palsy,Frequent (79-30%),안면 마비
Alexander disease,58,Recurrent singultus,Frequent (79-30%),반복적인 딸꾹질
Alexander disease,58,High palate,Occasional (29-5%),높은 구개
Alexander disease,58,Hydrocephalus,Occasional (29-5%),수두증
Alexander disease,58,Short neck,Occasional (29-5%),짧은 목
Alexander disease,58,Diabetes mellitus,Occasional (29-5%),당뇨병
Alexander disease,58,Hypothyroidism,Occasional (29-5%),갑상선 기능 저하증
Alexander disease,58,Hypertension,Occasional (29-5%),고혈압
Alexander disease,58,Precocious puberty,Occasional (29-5%),성조숙증
Alexander disease,58,Osteopenia,Occasional (29-5%),골감소증
Alexander disease,58,Hypotonia,Occasional (29-5%),근긴장 저하증
Alexander disease,58,Muscle weakness,Occasional (29-5%),근력 약화
Alexander disease,58,Sudden cardiac death,Occasional (29-5%),급사
Alexander disease,58,Chorea,Occasional (29-5%),무도병
Alexander disease,58,Respiratory insufficiency,Occasional (29-5%),호흡 부전
Alexander disease,58,Developmental regression,Occasional (29-5%),발달 퇴행
Alexander disease,58,Infectious encephalitis,Occasional (29-5%),감염성 뇌염
Alexander disease,58,Aqueductal stenosis,Occasional (29-5%),수로 협착
Alexander disease,58,Bowel incontinence,Occasional (29-5%),장 실금
Alexander disease,58,Hyperlordosis,Occasional (29-5%),과전만증
Alexander disease,58,Hyperpigmented nevi,Occasional (29-5%),과다색소성 모반
Alexander disease,58,Abnormal autonomic nervous system physiology,Occasional (29-5%),자율신경계 이상
Alexander disease,58,Self-injurious behavior,Occasional (29-5%),자해 행동
Alpha-mannosidosis,61,Macroglossia,Very frequent (99-80%),거설증
Alpha-mannosidosis,61,Coarse facial features,Very frequent (99-80%),거친 얼굴 특징
Alpha-mannosidosis,61,Hearing impairment,Very frequent (99-80%),청각 장애
Alpha-mannosidosis,61,Cataract,Very frequent (99-80%),백내장
Alpha-mannosidosis,61,Intellectual disability,Very frequent (99-80%),지적 장애
Alpha-mannosidosis,61,Global developmental delay,Very frequent (99-80%),전반적 발달 지연
Alpha-mannosidosis,61,Splenomegaly,Very frequent (99-80%),비장 비대
Alpha-mannosidosis,61,Hepatomegaly,Very frequent (99-80%),간비대
Alpha-mannosidosis,61,Skeletal dysplasia,Very frequent (99-80%),골형성 장애
Alpha-mannosidosis,61,Delayed skeletal maturation,Very frequent (99-80%),골 성숙 지연
Alpha-mannosidosis,61,Craniofacial hyperostosis,Very frequent (99-80%),두개안면골 과다증
Alpha-mannosidosis,61,Depressed nasal bridge,Very frequent (99-80%),낮은 콧대
Alpha-mannosidosis,61,Type II diabetes mellitus,Very frequent (99-80%),제2형 당뇨병
Alpha-mannosidosis,61,Corneal opacity,Very frequent (99-80%),각막 혼탁
Alpha-mannosidosis,61,Hypoplastic inferior ilia,Very frequent (99-80%),저형성 하부 장골
Alpha-mannosidosis,61,Inguinal hernia,Frequent (79-30%),서혜부 탈장
Alpha-mannosidosis,61,Narrow palate,Frequent (79-30%),좁은 구개
Alpha-mannosidosis,61,Gingival overgrowth,Frequent (79-30%),치은 비대
Alpha-mannosidosis,61,Hypertelorism,Frequent (79-30%),안와격리증
Alpha-mannosidosis,61,Prominent supraorbital ridges,Frequent (79-30%),돌출된 안와상연
Alpha-mannosidosis,61,Chronic otitis media,Frequent (79-30%),만성 중이염
Alpha-mannosidosis,61,Macrotia,Frequent (79-30%),대이증
Alpha-mannosidosis,61,Short neck,Frequent (79-30%),짧은 목
Alpha-mannosidosis,61,Atypical behavior,Frequent (79-30%),비정형 행동
Alpha-mannosidosis,61,Hypotonia,Frequent (79-30%),근긴장 저하증
Alpha-mannosidosis,61,Hip dysplasia,Frequent (79-30%),고관절 형성이상
Alpha-mannosidosis,61,Scoliosis,Frequent (79-30%),척추측만증
Alpha-mannosidosis,61,Kyphosis,Frequent (79-30%),척추후만증
Alpha-mannosidosis,61,Bowing of the long bones,Frequent (79-30%),장골 만곡
Alpha-mannosidosis,61,Open bite,Frequent (79-30%),개교합
Alpha-mannosidosis,61,Abnormality of the helix,Frequent (79-30%),귀 이주의 이상
Alpha-mannosidosis,61,Generalized abnormality of skin,Frequent (79-30%),피부의 전반적 이상
Alpha-mannosidosis,61,Macrocephaly,Occasional (29-5%),대두증
Alpha-mannosidosis,61,Mandibular prognathia,Occasional (29-5%),하악전돌증
Alpha-mannosidosis,61,Widely spaced teeth,Occasional (29-5%),치아 간격이 넓음
Alpha-mannosidosis,61,Dental malocclusion,Occasional (29-5%),부정교합
Alpha-mannosidosis,61,Hallucinations,Occasional (29-5%),환각
Alpha-mannosidosis,61,Arthritis,Occasional (29-5%),관절염
Alpha-mannosidosis,61,Recurrent respiratory infections,Occasional (29-5%),반복적인 호흡기 감염
Alpha-mannosidosis,61,Increased intracranial pressure,Occasional (29-5%),두개내압 상승
Alpha-mannosidosis,61,Avascular necrosis,Occasional (29-5%),무혈관 괴사
Alpha-mannosidosis,61,Synostosis of joints,Occasional (29-5%),관절 융합
Aspartylglucosaminuria,93,Gingival overgrowth,Very frequent (99-80%),치은 비대
Aspartylglucosaminuria,93,Mandibular prognathia,Very frequent (99-80%),하악전돌증
Aspartylglucosaminuria,93,Hypertelorism,Very frequent (99-80%),안와격리증
