Synonym,Name,OrphaCode
Dysplasie épiphysaire multiple type Al-Gazali,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,166024
"Multiple epiphyseal dysplasia, Al-Gazali type",Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,166024
AxD,Alexander disease,58
Lysosomal alpha-D-mannosidase deficiency,Alpha-mannosidosis,61
Aspartylglucosaminidase deficiency,Aspartylglucosaminuria,93
Austin disease,Multiple sulfatase deficiency,585
MSD,Multiple sulfatase deficiency,585
Mucosulfatidosis,Multiple sulfatase deficiency,585
Beta-mannosidase deficiency,Beta-mannosidosis,118
Fetal-onset olivopontocerebellar hypoplasia,Pontocerebellar hypoplasia type 5,166068
PCH5,Pontocerebellar hypoplasia type 5,166068
ACY2 deficiency,Canavan disease,141
Aminoacylase 2 deficiency,Canavan disease,141
Aspartoacylase deficiency,Canavan disease,141
Spongy degeneration of the brain,Canavan disease,141
Fatal infantile encephalopathy with olivopontocerebellar hypoplasia,Pontocerebellar hypoplasia type 4,166063
Olivopontocerebellar hypoplasia,Pontocerebellar hypoplasia type 4,166063
PCH4,Pontocerebellar hypoplasia type 4,166063
Fatal infantile encephalopathy with mitochondrial respiratory chain defects,Pontocerebellar hypoplasia type 6,166073
PCH6,Pontocerebellar hypoplasia type 6,166073
Protein defect of cystin transport,Cystinosis,213
Acid ceramidase deficiency,Farber disease,333
Farber lipogranulomatosis,Farber disease,333
Alpha-L-fucosidase deficiency,Fucosidosis,349
"Alpha-1,4-glucosidase acid deficiency",Glycogen storage disease due to acid maltase deficiency,365
GSD due to acid maltase deficiency,Glycogen storage disease due to acid maltase deficiency,365
GSD type 2,Glycogen storage disease due to acid maltase deficiency,365
GSD type II,Glycogen storage disease due to acid maltase deficiency,365
Glycogen storage disease type 2,Glycogen storage disease due to acid maltase deficiency,365
Glycogen storage disease type II,Glycogen storage disease due to acid maltase deficiency,365
Glycogenosis due to acid maltase deficiency,Glycogen storage disease due to acid maltase deficiency,365
Glycogenosis type 2,Glycogen storage disease due to acid maltase deficiency,365
Glycogenosis type II,Glycogen storage disease due to acid maltase deficiency,365
Pompe disease,Glycogen storage disease due to acid maltase deficiency,365
"Amylo-1,6-glucosidase deficiency",Glycogen storage disease due to glycogen debranching enzyme deficiency,366
Cori disease,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
Cori-Forbes disease,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
Forbes disease,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
GDE deficiency,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
GSD due to glycogen debranching enzyme deficiency,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
GSD type 3,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
GSDIII,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
Glycogen storage disease type 3,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
Glycogen storage disease type III,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
Glycogenosis due to glycogen debranching enzyme deficiency,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
Glycogenosis type 3,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
Glycogenosis type III,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
Limit dextrinosis,Glycogen storage disease due to glycogen debranching enzyme deficiency,366
GSD due to muscle glycogen phosphorylase deficiency,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
GSD type 5,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
GSD type V,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
Glycogen storage disease type 5,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
Glycogen storage disease type V,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
Glycogenosis due to muscle glycogen phosphorylase deficiency,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
Glycogenosis type 5,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
Glycogenosis type V,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
McArdle disease,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
Myophosphorylase deficiency,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368
Amylopectinosis,Glycogen storage disease due to glycogen branching enzyme deficiency,367
Andersen disease,Glycogen storage disease due to glycogen branching enzyme deficiency,367
GSD due to glycogen branching enzyme deficiency,Glycogen storage disease due to glycogen branching enzyme deficiency,367
GSD type 4,Glycogen storage disease due to glycogen branching enzyme deficiency,367
GSD type IV,Glycogen storage disease due to glycogen branching enzyme deficiency,367
Glycogen storage disease type 4,Glycogen storage disease due to glycogen branching enzyme deficiency,367
Glycogen storage disease type IV,Glycogen storage disease due to glycogen branching enzyme deficiency,367
Glycogenosis due to glycogen branching enzyme deficiency,Glycogen storage disease due to glycogen branching enzyme deficiency,367
Glycogenosis type 4,Glycogen storage disease due to glycogen branching enzyme deficiency,367
Glycogenosis type IV,Glycogen storage disease due to glycogen branching enzyme deficiency,367
AD OSMED,Autosomal dominant otospondylomegaepiphyseal dysplasia,166100
Stickler syndrome type 3,Autosomal dominant otospondylomegaepiphyseal dysplasia,166100
"Stickler syndrome, non-ocular type",Autosomal dominant otospondylomegaepiphyseal dysplasia,166100
GSD due to muscle phosphofructokinase deficiency,Glycogen storage disease due to muscle phosphofructokinase deficiency,371
GSD type 7,Glycogen storage disease due to muscle phosphofructokinase deficiency,371
GSD type VII,Glycogen storage disease due to muscle phosphofructokinase deficiency,371
Glycogen storage disease type 7,Glycogen storage disease due to muscle phosphofructokinase deficiency,371
Glycogen storage disease type VII,Glycogen storage disease due to muscle phosphofructokinase deficiency,371
Glycogenosis due to muscle phosphofructokinase deficiency,Glycogen storage disease due to muscle phosphofructokinase deficiency,371
Glycogenosis type 7,Glycogen storage disease due to muscle phosphofructokinase deficiency,371
Glycogenosis type VII,Glycogen storage disease due to muscle phosphofructokinase deficiency,371
Tarui disease,Glycogen storage disease due to muscle phosphofructokinase deficiency,371
GSD due to liver glycogen phosphorylase deficiency,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
GSD type 6,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
GSD type VI,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Glycogen storage disease type 6,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Glycogen storage disease type VI,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Glycogenosis due to liver glycogen phosphorylase deficiency,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Glycogenosis type 6,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Glycogenosis type VI,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Hepatic glycogen phosphorylase deficiency,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Hepatic phosphorylase deficiency,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Hers disease,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Liver glycogen phosphorylase deficiency,Glycogen storage disease due to liver glycogen phosphorylase deficiency,369
Marchiafava-Micheli disease,Paroxysmal nocturnal hemoglobinuria,447
PNH,Paroxysmal nocturnal hemoglobinuria,447
Intellectual disability-hypotonia-facial dysmorphism syndrome,"Intellectual disability, Birk-Barel type",166108
Acrokeratosis of Bazex,Bazex syndrome,166113
Acrokeratosis paraneoplastica,Bazex syndrome,166113
Acrokeratosis paraneoplastica of Bazex,Bazex syndrome,166113
GALC deficiency,Krabbe disease,487
Galactocerebrosidase deficiency,Krabbe disease,487
Galactosylceramidase deficiency,Krabbe disease,487
Globoid cell leukodystrophy,Krabbe disease,487
Capdepont teeth,Dentinogenesis imperfecta type 2,166260
DGI-2,Dentinogenesis imperfecta type 2,166260
DI-2,Dentinogenesis imperfecta type 2,166260
"Dentinogenesis imperfecta, Shields type 2",Dentinogenesis imperfecta type 2,166260
"Dentinogenesis imperfecta, Shields type 3",Dentinogenesis imperfecta type 3,166265
ARSB deficiency,Mucopolysaccharidosis type 6,583
ASB deficiency,Mucopolysaccharidosis type 6,583
Arylsulfatase B deficiency,Mucopolysaccharidosis type 6,583
MPS6,Mucopolysaccharidosis type 6,583
MPSVI,Mucopolysaccharidosis type 6,583
Maroteaux-Lamy disease,Mucopolysaccharidosis type 6,583
Mucopolysaccharidosis type VI,Mucopolysaccharidosis type 6,583
N-acetylgalactosamine 4-sulfatase deficiency,Mucopolysaccharidosis type 6,583
Chondrodysplasia-dentinogenesis imperfecta-joint laxity syndrome,Odontochondrodysplasia,166272
Goldblatt chondrodysplasia,Odontochondrodysplasia,166272
Goldblatt syndrome,Odontochondrodysplasia,166272
ODCD,Odontochondrodysplasia,166272
I-cell disease,Mucolipidosis type II,576
Mucolipidosis type II alpha/beta,Mucolipidosis type II,576
N-acetylglucosamine 1-phosphotransferase deficiency,Mucolipidosis type II,576
Suarez-Stickler syndrome,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,166277
Cherry-red spot-myoclonus syndrome,Sialidosis type 1,812
Lipomucopolysaccharidosis,Sialidosis type 1,812
Normomorphic sialidosis,Sialidosis type 1,812
Comedo nevus of the palm,Porokeratotic eccrine ostial and dermal duct nevus,166286
Porokeratotic eccrine nevus,Porokeratotic eccrine ostial and dermal duct nevus,166286
Pseudo-Hurler polydystrophy,Mucolipidosis type III,577
NON RARE IN EUROPE: Ulcerative proctitis,NON RARE IN EUROPE: Ulcerative colitis,771
NON RARE IN EUROPE: Ulcerative proctosigmoiditis,NON RARE IN EUROPE: Ulcerative colitis,771
BIMSE,Benign infantile focal epilepsy with midline spikes and waves during sleep,166308
RXLI,Recessive X-linked ichthyosis,461
Steroid sulfatase deficiency,Recessive X-linked ichthyosis,461
X-linked ichthyosis,Recessive X-linked ichthyosis,461
XLI,Recessive X-linked ichthyosis,461
NON RARE IN EUROPE: GTS,NON RARE IN EUROPE: Tourette syndrome,856
NON RARE IN EUROPE: Gilles de la Tourette syndrome,NON RARE IN EUROPE: Tourette syndrome,856
NON RARE IN EUROPE: Tourette disease,NON RARE IN EUROPE: Tourette syndrome,856
Eating epilepsy,Eating reflex epilepsy,166418
Eating seizures,Eating reflex epilepsy,166418
Beta-glucuronidase deficiency,Mucopolysaccharidosis type 7,584
MPS7,Mucopolysaccharidosis type 7,584
MPSVII,Mucopolysaccharidosis type 7,584
Mucopolysaccharidosis type VII,Mucopolysaccharidosis type 7,584
Sly disease,Mucopolysaccharidosis type 7,584
NON RARE IN EUROPE: Ankylosing spondylarthritis,NON RARE IN EUROPE: Ankylosing spondylitis,825
NON RARE IN EUROPE: Bechterew syndrome,NON RARE IN EUROPE: Ankylosing spondylitis,825
"45,X syndrome",Turner syndrome,881
"45,X/46,XX syndrome",Turner syndrome,881
FA,Friedreich ataxia,95
FRDA,Friedreich ataxia,95
CF,Cystic fibrosis,586
Mucoviscidosis,Cystic fibrosis,586
"Severe dystrophinopathy, Duchenne and Becker type",Duchenne and Becker muscular dystrophy,262
EDMD,Emery-Dreifuss muscular dystrophy,261
"Mitochondrial encephalomyopathy, lactic acidosis and stroke-like episodes",MELAS,550
"Mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes",MELAS,550
